DOC_ID,MENU_ID
777,3
778,3
779,3
120,4
121,4
145,4
151,4
153,4
155,4
159,4
161,4
162,4
163,4
187,4
215,4
216,4
217,4
218,4
226,4
236,4
250,4
252,4
290,4
295,4
305,4
311,4
322,4
346,4
356,4
412,4
413,4
416,4
440,4
441,4
454,4
471,4
486,4
522,4
541,4
542,4
564,4
110,5
143,5
187,5
228,5
308,5
314,5
378,5
390,5
445,5
446,5
447,5
448,5
449,5
454,5
511,5
512,5
513,5
514,5
685,5
686,5
771,5
842,6
843,6
104,8
138,8
350,8
351,8
376,8
382,8
455,8
456,8
457,8
460,8
32,9
51,9
52,9
53,9
54,9
55,9
56,9
57,9
58,9
59,9
60,9
61,9
62,9
63,9
64,9
65,9
66,9
67,9
68,9
69,9
70,9
71,9
72,9
73,9
74,9
75,9
76,9
79,9
80,9
81,9
82,9
83,9
84,9
85,9
88,9
90,9
93,9
94,9
95,9
97,9
106,9
111,9
112,9
114,9
124,9
126,9
127,9
128,9
129,9
135,9
136,9
137,9
139,9
140,9
145,9
146,9
147,9
149,9
151,9
153,9
154,9
155,9
156,9
158,9
159,9
161,9
162,9
163,9
164,9
165,9
166,9
167,9
169,9
177,9
178,9
179,9
180,9
182,9
184,9
186,9
188,9
189,9
190,9
192,9
199,9
201,9
208,9
209,9
213,9
214,9
220,9
221,9
222,9
226,9
227,9
229,9
230,9
231,9
234,9
238,9
246,9
247,9
248,9
252,9
253,9
254,9
256,9
257,9
259,9
260,9
262,9
263,9
264,9
265,9
269,9
271,9
278,9
279,9
280,9
281,9
283,9
284,9
287,9
288,9
289,9
290,9
291,9
292,9
294,9
296,9
297,9
298,9
300,9
301,9
303,9
305,9
311,9
312,9
315,9
317,9
318,9
319,9
322,9
326,9
327,9
328,9
329,9
330,9
331,9
345,9
346,9
352,9
353,9
354,9
358,9
360,9
364,9
365,9
368,9
370,9
377,9
379,9
381,9
384,9
385,9
386,9
389,9
397,9
401,9
402,9
403,9
410,9
414,9
417,9
423,9
424,9
425,9
426,9
427,9
428,9
429,9
430,9
431,9
433,9
435,9
437,9
438,9
439,9
442,9
444,9
450,9
451,9
453,9
458,9
459,9
462,9
465,9
466,9
468,9
469,9
471,9
476,9
478,9
479,9
480,9
481,9
482,9
483,9
485,9
488,9
489,9
490,9
496,9
499,9
500,9
501,9
506,9
507,9
517,9
518,9
530,9
531,9
537,9
539,9
549,9
550,9
552,9
554,9
555,9
556,9
557,9
558,9
563,9
564,9
567,9
573,9
574,9
576,9
581,9
590,9
595,9
596,9
603,9
608,9
609,9
610,9
611,9
616,9
617,9
618,9
622,9
625,9
626,9
628,9
629,9
630,9
631,9
633,9
635,9
636,9
638,9
641,9
645,9
653,9
655,9
656,9
660,9
665,9
666,9
667,9
668,9
669,9
672,9
673,9
675,9
678,9
680,9
681,9
683,9
684,9
687,9
689,9
690,9
691,9
692,9
693,9
694,9
695,9
699,9
701,9
705,9
708,9
709,9
710,9
711,9
712,9
714,9
715,9
716,9
717,9
718,9
720,9
721,9
722,9
724,9
727,9
731,9
732,9
736,9
737,9
739,9
740,9
744,9
746,9
747,9
748,9
752,9
756,9
757,9
758,9
762,9
763,9
766,9
770,9
772,9
773,9
774,9
775,9
776,9
781,9
782,9
783,9
787,9
789,9
790,9
791,9
795,9
798,9
799,9
801,9
805,9
807,9
808,9
810,9
811,9
815,9
816,9
817,9
818,9
819,9
820,9
821,9
822,9
824,9
826,9
827,9
828,9
830,9
831,9
839,9
841,9
33,10
34,10
35,10
37,10
38,10
39,10
49,10
50,10
78,10
92,10
96,10
98,10
99,10
101,10
102,10
103,10
105,10
113,10
116,10
131,10
132,10
134,10
141,10
148,10
185,10
191,10
193,10
195,10
203,10
210,10
224,10
232,10
239,10
240,10
251,10
256,10
257,10
266,10
272,10
273,10
274,10
275,10
276,10
277,10
282,10
286,10
293,10
295,10
302,10
306,10
309,10
323,10
324,10
325,10
331,10
332,10
333,10
338,10
342,10
347,10
348,10
349,10
355,10
356,10
357,10
359,10
367,10
371,10
372,10
373,10
375,10
391,10
394,10
396,10
407,10
409,10
412,10
419,10
432,10
443,10
452,10
461,10
463,10
467,10
473,10
474,10
475,10
477,10
484,10
491,10
492,10
494,10
510,10
519,10
522,10
523,10
528,10
532,10
533,10
534,10
565,10
571,10
587,10
597,10
598,10
607,10
624,10
632,10
634,10
637,10
639,10
640,10
643,10
644,10
652,10
654,10
657,10
662,10
663,10
664,10
670,10
671,10
674,10
676,10
682,10
696,10
697,10
698,10
703,10
704,10
706,10
707,10
713,10
719,10
723,10
725,10
726,10
728,10
729,10
730,10
734,10
735,10
738,10
741,10
743,10
745,10
747,10
750,10
751,10
753,10
754,10
755,10
761,10
765,10
780,10
782,10
788,10
792,10
793,10
794,10
796,10
802,10
803,10
804,10
806,10
809,10
812,10
813,10
814,10
825,10
829,10
832,10
833,10
834,10
840,10
30,11
77,11
86,11
87,11
89,11
91,11
118,11
119,11
122,11
123,11
125,11
133,11
142,11
144,11
150,11
157,11
168,11
174,11
183,11
196,11
197,11
198,11
200,11
202,11
204,11
206,11
207,11
211,11
219,11
223,11
225,11
233,11
235,11
241,11
242,11
243,11
244,11
245,11
249,11
258,11
267,11
268,11
270,11
284,11
337,11
362,11
363,11
380,11
398,11
399,11
404,11
421,11
422,11
434,11
436,11
464,11
465,11
470,11
487,11
489,11
490,11
536,11
560,11
561,11
562,11
566,11
575,11
577,11
582,11
583,11
584,11
585,11
586,11
588,11
589,11
592,11
593,11
594,11
599,11
600,11
601,11
602,11
606,11
613,11
614,11
621,11
626,11
627,11
632,11
643,11
645,11
653,11
656,11
658,11
659,11
661,11
669,11
677,11
683,11
684,11
695,11
700,11
701,11
705,11
711,11
730,11
732,11
733,11
735,11
740,11
742,11
749,11
784,11
799,11
800,11
822,11
823,11
824,11
835,11
836,11
837,11
838,11
29,12
31,12
32,12
35,12
91,12
94,12
96,12
105,12
125,12
137,12
141,12
142,12
144,12
186,12
195,12
197,12
198,12
229,12
236,12
250,12
286,12
336,12
337,12
413,12
439,12
461,12
470,12
472,12
477,12
480,12
486,12
504,12
506,12
508,12
520,12
521,12
601,12
603,12
606,12
608,12
615,12
660,12
697,12
720,12
732,12
733,12
742,12
749,12
773,12
172,18
173,18
176,18
205,18
261,18
313,18
316,18
797,18
100,19
175,19
255,19
299,19
334,19
335,19
688,19
27,20
28,20
109,20
130,20
170,20
171,20
181,20
237,20
285,20
299,20
304,20
307,20
310,20
320,20
334,20
335,20
361,20
366,20
374,20
383,20
387,20
388,20
392,20
393,20
515,20
578,20
605,20
648,20
677,20
759,20
768,20
194,21
302,21
411,21
761,21